|    | Addresses   | D3   | D2   | D1   | D0   |
|----|-------------|------|------|------|------|
| 0  | 0000        | 0    | 0    | 0    | 0    |
| 1  | 0001        | 0    | 0    | 0    | 0    |
| 2  | 0010        | 0    | 0    | 0    | 0    |
| 3  | 0011        | 0    | 1    | 0    | 0    |
| 4  | 0100        | 0    | 0    | 1    | 0    |
| 5  | 0101        | 0    | 0    | 0    | 0    |
| 6  | 0110        | 0    | 0    | 0    | 0    |
| 7  | 0111        | 0    | 1    | 0    | 0    |
| 8  | 1000        | 0    | 0    | 0    | 0    |
| 9  | 1001        | 0    | 0    | 0    | 0    |
| 10 | 1010        | 0    | 0    | 0    | 0    |
| 11 | 1011        | 0    | 1    | 0    | 0    |
| 12 | 1100        | 1    | 0    | 1    | 0    |
| 13 | 1101        | 1    | 0    | 0    | 1    |
| 14 | 1110        | 0    | 0    | 0    | 0    |
| 15 | 1111        | 0    | 1    | 0    | 0    |
